Web Search interest: indian residential schools; residential schools; canadian residential schools; aboriginal residential schools,,,,
Canada; 2004 - present,,,,
,,,,
Interest over time,,,,
Week,residential schools,,,
2009-10-18 - 2009-10-24,13,,,
2009-10-25 - 2009-10-31,25,,,
2009-11-01 - 2009-11-07,25,,,
2009-11-08 - 2009-11-14,21,,,
2009-11-15 - 2009-11-21,27,,,
2009-11-22 - 2009-11-28,34,,,
2009-11-29 - 2009-12-05,31,,,
2009-12-06 - 2009-12-12,21,,,
2009-12-13 - 2009-12-19,26,,,
2009-12-20 - 2009-12-26,12,,,
2009-12-27 - 2010-01-02,12,,,
2010-01-03 - 2010-01-09,12,,,
2010-01-10 - 2010-01-16,26,,,
2010-01-17 - 2010-01-23,15,,,
2010-01-24 - 2010-01-30,17,,,
2010-01-31 - 2010-02-06,22,,,
2010-02-07 - 2010-02-13,15,,,
2010-02-14 - 2010-02-20,13,,,
2010-02-21 - 2010-02-27,17,,,
2010-02-28 - 2010-03-06,18,,,
2010-03-07 - 2010-03-13,27,,,
2010-03-14 - 2010-03-20,36,,,
2010-03-21 - 2010-03-27,30,,,
2010-03-28 - 2010-04-03,23,,,
2010-04-04 - 2010-04-10,24,,,
2010-04-11 - 2010-04-17,27,,,
2010-04-18 - 2010-04-24,27,,,
2010-04-25 - 2010-05-01,23,,,
2010-05-02 - 2010-05-08,16,,,
2010-05-09 - 2010-05-15,19,,,
2010-05-16 - 2010-05-22,17,,,
2010-05-23 - 2010-05-29,15,,,
2010-05-30 - 2010-06-05,21,,,
2010-06-06 - 2010-06-12,16,,,
2010-06-13 - 2010-06-19,37,,,
2010-06-20 - 2010-06-26,12,,,
2010-06-27 - 2010-07-03,0,,,
2010-07-04 - 2010-07-10,0,,,
2010-07-11 - 2010-07-17,0,,,
2010-07-18 - 2010-07-24,0,,,
2010-07-25 - 2010-07-31,0,,,
2010-08-01 - 2010-08-07,0,,,
2010-08-08 - 2010-08-14,0,,,
2010-08-15 - 2010-08-21,0,,,
2010-08-22 - 2010-08-28,0,,,
2010-08-29 - 2010-09-04,0,,,
2010-09-05 - 2010-09-11,0,,,
2010-09-12 - 2010-09-18,13,,,
2010-09-19 - 2010-09-25,8,,,
2010-09-26 - 2010-10-02,18,,,
2010-10-03 - 2010-10-09,17,,,
2010-10-10 - 2010-10-16,19,,,
2010-10-17 - 2010-10-23,21,,,
2010-10-24 - 2010-10-30,23,,,
2010-10-31 - 2010-11-06,19,,,
2010-11-07 - 2010-11-13,20,,,
2010-11-14 - 2010-11-20,25,,,
2010-11-21 - 2010-11-27,25,,,
2010-11-28 - 2010-12-04,26,,,
2010-12-05 - 2010-12-11,28,,,
2010-12-12 - 2010-12-18,20,,,
2010-12-19 - 2010-12-25,17,,,
2010-12-26 - 2011-01-01,17,,,
2011-01-02 - 2011-01-08,17,,,
2011-01-09 - 2011-01-15,15,,,
2011-01-16 - 2011-01-22,21,,,
2011-01-23 - 2011-01-29,19,,,
2011-01-30 - 2011-02-05,20,,,
2011-02-06 - 2011-02-12,17,,,
2011-02-13 - 2011-02-19,15,,,
2011-02-20 - 2011-02-26,10,,,
2011-02-27 - 2011-03-05,21,,,
2011-03-06 - 2011-03-12,23,,,
2011-03-13 - 2011-03-19,19,,,
2011-03-20 - 2011-03-26,30,,,
2011-03-27 - 2011-04-02,30,,,
2011-04-03 - 2011-04-09,29,,,
2011-04-10 - 2011-04-16,21,,,
2011-04-17 - 2011-04-23,19,,,
2011-04-24 - 2011-04-30,14,,,
2011-05-01 - 2011-05-07,13,,,
2011-05-08 - 2011-05-14,18,,,
2011-05-15 - 2011-05-21,17,,,
2011-05-22 - 2011-05-28,22,,,
2011-05-29 - 2011-06-04,19,,,
2011-06-05 - 2011-06-11,22,,,
2011-06-12 - 2011-06-18,28,,,
2011-06-19 - 2011-06-25,11,,,
2011-06-26 - 2011-07-02,8,,,
2011-07-03 - 2011-07-09,7,,,
2011-07-10 - 2011-07-16,7,,,
2011-07-17 - 2011-07-23,8,,,
2011-07-24 - 2011-07-30,9,,,
2011-07-31 - 2011-08-06,7,,,
2011-08-07 - 2011-08-13,9,,,
2011-08-14 - 2011-08-20,10,,,
2011-08-21 - 2011-08-27,7,,,
2011-08-28 - 2011-09-03,7,,,
2011-09-04 - 2011-09-10,7,,,
2011-09-11 - 2011-09-17,13,,,
2011-09-18 - 2011-09-24,13,,,
2011-09-25 - 2011-10-01,17,,,
2011-10-02 - 2011-10-08,10,,,
2011-10-09 - 2011-10-15,17,,,
2011-10-16 - 2011-10-22,18,,,
2011-10-23 - 2011-10-29,30,,,
2011-10-30 - 2011-11-05,30,,,
2011-11-06 - 2011-11-12,26,,,
2011-11-13 - 2011-11-19,29,,,
2011-11-20 - 2011-11-26,23,,,
2011-11-27 - 2011-12-03,32,,,
2011-12-04 - 2011-12-10,19,,,
2011-12-11 - 2011-12-17,27,,,
2011-12-18 - 2011-12-24,19,,,
2011-12-25 - 2011-12-31,9,,,
2012-01-01 - 2012-01-07,9,,,
2012-01-08 - 2012-01-14,18,,,
2012-01-15 - 2012-01-21,26,,,
2012-01-22 - 2012-01-28,23,,,
2012-01-29 - 2012-02-04,15,,,
2012-02-05 - 2012-02-11,12,,,
2012-02-12 - 2012-02-18,24,,,
2012-02-19 - 2012-02-25,22,,,
2012-02-26 - 2012-03-03,23,,,
2012-03-04 - 2012-03-10,31,,,
2012-03-11 - 2012-03-17,22,,,
2012-03-18 - 2012-03-24,24,,,
2012-03-25 - 2012-03-31,18,,,
2012-04-01 - 2012-04-07,23,,,
2012-04-08 - 2012-04-14,29,,,
2012-04-15 - 2012-04-21,19,,,
2012-04-22 - 2012-04-28,17,,,
2012-04-29 - 2012-05-05,21,,,
2012-05-06 - 2012-05-12,19,,,
2012-05-13 - 2012-05-19,19,,,
2012-05-20 - 2012-05-26,25,,,
2012-05-27 - 2012-06-02,19,,,
2012-06-03 - 2012-06-09,18,,,
2012-06-10 - 2012-06-16,27,,,
2012-06-17 - 2012-06-23,12,,,
2012-06-24 - 2012-06-30,7,,,
2012-07-01 - 2012-07-07,7,,,
2012-07-08 - 2012-07-14,8,,,
2012-07-15 - 2012-07-21,9,,,
2012-07-22 - 2012-07-28,8,,,
2012-07-29 - 2012-08-04,9,,,
2012-08-05 - 2012-08-11,10,,,
2012-08-12 - 2012-08-18,8,,,
2012-08-19 - 2012-08-25,9,,,
2012-08-26 - 2012-09-01,9,,,
2012-09-02 - 2012-09-08,9,,,
2012-09-09 - 2012-09-15,10,,,
2012-09-16 - 2012-09-22,14,,,
2012-09-23 - 2012-09-29,17,,,
2012-09-30 - 2012-10-06,16,,,
2012-10-07 - 2012-10-13,15,,,
2012-10-14 - 2012-10-20,18,,,
2012-10-21 - 2012-10-27,19,,,
2012-10-28 - 2012-11-03,24,,,
2012-11-04 - 2012-11-10,19,,,
2012-11-11 - 2012-11-17,26,,,
2012-11-18 - 2012-11-24,25,,,
2012-11-25 - 2012-12-01,22,,,
2012-12-02 - 2012-12-08,22,,,
2012-12-09 - 2012-12-15,17,,,
2012-12-16 - 2012-12-22,16,,,
2012-12-23 - 2012-12-29,6,,,
2012-12-30 - 2013-01-05,12,,,
2013-01-06 - 2013-01-12,21,,,
2013-01-13 - 2013-01-19,30,,,
2013-01-20 - 2013-01-26,15,,,
2013-01-27 - 2013-02-02,17,,,
2013-02-03 - 2013-02-09,17,,,
2013-02-10 - 2013-02-16,20,,,
2013-02-17 - 2013-02-23,19,,,
2013-02-24 - 2013-03-02,21,,,
2013-03-03 - 2013-03-09,28,,,
2013-03-10 - 2013-03-16,18,,,
2013-03-17 - 2013-03-23,23,,,
2013-03-24 - 2013-03-30,25,,,
2013-03-31 - 2013-04-06,28,,,
2013-04-07 - 2013-04-13,23,,,
2013-04-14 - 2013-04-20,24,,,
2013-04-21 - 2013-04-27,22,,,
2013-04-28 - 2013-05-04,22,,,
2013-05-05 - 2013-05-11,20,,,
2013-05-12 - 2013-05-18,20,,,
2013-05-19 - 2013-05-25,20,,,
2013-05-26 - 2013-06-01,22,,,
2013-06-02 - 2013-06-08,24,,,
2013-06-09 - 2013-06-15,22,,,
2013-06-16 - 2013-06-22,16,,,
2013-06-23 - 2013-06-29,7,,,
2013-06-30 - 2013-07-06,8,,,
2013-07-07 - 2013-07-13,5,,,
2013-07-14 - 2013-07-20,16,,,
2013-07-21 - 2013-07-27,10,,,
2013-07-28 - 2013-08-03,9,,,
2013-08-04 - 2013-08-10,6,,,
2013-08-11 - 2013-08-17,6,,,
2013-08-18 - 2013-08-24,6,,,
2013-08-25 - 2013-08-31,6,,,
2013-09-01 - 2013-09-07,6,,,
2013-09-08 - 2013-09-14,9,,,
2013-09-15 - 2013-09-21,18,,,
2013-09-22 - 2013-09-28,32,,,
2013-09-29 - 2013-10-05,29,,,
2013-10-06 - 2013-10-12,21,,,
2013-10-13 - 2013-10-19,19,,,
2013-10-20 - 2013-10-26,21,,,
2013-10-27 - 2013-11-02,22,,,
2013-11-03 - 2013-11-09,28,,,
2013-11-10 - 2013-11-16,28,,,
2013-11-17 - 2013-11-23,29,,,
2013-11-24 - 2013-11-30,35,,,
2013-12-01 - 2013-12-07,26,,,
2013-12-08 - 2013-12-14,28,,,
2013-12-15 - 2013-12-21,24,,,
2013-12-22 - 2013-12-28,5,,,
2013-12-29 - 2014-01-04,8,,,
2014-01-05 - 2014-01-11,26,,,
2014-01-12 - 2014-01-18,28,,,
2014-01-19 - 2014-01-25,33,,,
2014-01-26 - 2014-02-01,25,,,
2014-02-02 - 2014-02-08,20,,,
2014-02-09 - 2014-02-15,24,,,
2014-02-16 - 2014-02-22,18,,,
2014-02-23 - 2014-03-01,28,,,
2014-03-02 - 2014-03-08,31,,,
2014-03-09 - 2014-03-15,22,,,
2014-03-16 - 2014-03-22,32,,,
2014-03-23 - 2014-03-29,45,,,
2014-03-30 - 2014-04-05,36,,,
2014-04-06 - 2014-04-12,41,,,
2014-04-13 - 2014-04-19,29,,,
2014-04-20 - 2014-04-26,25,,,
2014-04-27 - 2014-05-03,23,,,
2014-05-04 - 2014-05-10,22,,,
2014-05-11 - 2014-05-17,23,,,
2014-05-18 - 2014-05-24,27,,,
2014-05-25 - 2014-05-31,29,,,
2014-06-01 - 2014-06-07,22,,,
2014-06-08 - 2014-06-14,24,,,
2014-06-15 - 2014-06-21,19,,,
2014-06-22 - 2014-06-28,14,,,
2014-06-29 - 2014-07-05,7,,,
2014-07-06 - 2014-07-12,8,,,
2014-07-13 - 2014-07-19,8,,,
2014-07-20 - 2014-07-26,10,,,
2014-07-27 - 2014-08-02,5,,,
2014-08-03 - 2014-08-09,5,,,
2014-08-10 - 2014-08-16,6,,,
2014-08-17 - 2014-08-23,6,,,
2014-08-24 - 2014-08-30,6,,,
2014-08-31 - 2014-09-06,8,,,
2014-09-07 - 2014-09-13,10,,,
2014-09-14 - 2014-09-20,13,,,
2014-09-21 - 2014-09-27,20,,,
2014-09-28 - 2014-10-04,32,,,
2014-10-05 - 2014-10-11,22,,,
2014-10-12 - 2014-10-18,18,,,
2014-10-19 - 2014-10-25,23,,,
2014-10-26 - 2014-11-01,28,,,
2014-11-02 - 2014-11-08,30,,,
2014-11-09 - 2014-11-15,22,,,
2014-11-16 - 2014-11-22,33,,,
2014-11-23 - 2014-11-29,36,,,
2014-11-30 - 2014-12-06,33,,,
2014-12-07 - 2014-12-13,30,,,
2014-12-14 - 2014-12-20,23,,,
2014-12-21 - 2014-12-27,8,,,
2014-12-28 - 2015-01-03,8,,,
2015-01-04 - 2015-01-10,22,,,
2015-01-11 - 2015-01-17,27,,,
2015-01-18 - 2015-01-24,32,,,
2015-01-25 - 2015-01-31,25,,,
2015-02-01 - 2015-02-07,24,,,
2015-02-08 - 2015-02-14,21,,,
2015-02-15 - 2015-02-21,23,,,
2015-02-22 - 2015-02-28,30,,,
2015-03-01 - 2015-03-07,20,,,
,,,,
,,,,
Top subregions for indian residential schools,,,,
Subregion,indian residential schools,residential schools,canadian residential schools,aboriginal residential schools
Saskatchewan,100,100,0,0
Manitoba,68,71,0,0
Alberta,33,37,100,100
British Columbia,32,27,55,94
Ontario,22,22,60,94
Quebec,10,5,0,0
New Brunswick,0,14,0,0
Newfoundland and Labrador,0,0,0,0
Nova Scotia,0,29,0,0
Northwest Territories,0,0,0,0
Nunavut,0,0,0,0
Prince Edward Island,0,0,0,0
Yukon Territory,0,0,0,0
,,,,
Top subregions for residential schools,,,,
Subregion,indian residential schools,residential schools,canadian residential schools,aboriginal residential schools
Saskatchewan,100,100,0,0
Manitoba,68,71,0,0
Alberta,33,37,100,100
Nova Scotia,0,29,0,0
British Columbia,32,27,55,94
Ontario,22,22,60,94
New Brunswick,0,14,0,0
Quebec,10,5,0,0
Newfoundland and Labrador,0,0,0,0
Northwest Territories,0,0,0,0
Nunavut,0,0,0,0
Prince Edward Island,0,0,0,0
Yukon Territory,0,0,0,0
,,,,
Top subregions for canadian residential schools,,,,
Subregion,indian residential schools,residential schools,canadian residential schools,aboriginal residential schools
Alberta,33,37,100,100
Ontario,22,22,60,94
British Columbia,32,27,55,94
Manitoba,68,71,0,0
New Brunswick,0,14,0,0
Newfoundland and Labrador,0,0,0,0
Nova Scotia,0,29,0,0
Northwest Territories,0,0,0,0
Nunavut,0,0,0,0
Prince Edward Island,0,0,0,0
Quebec,10,5,0,0
Saskatchewan,100,100,0,0
Yukon Territory,0,0,0,0
,,,,
Top subregions for aboriginal residential schools,,,,
Subregion,indian residential schools,residential schools,canadian residential schools,aboriginal residential schools
Alberta,33,37,100,100
British Columbia,32,27,55,94
Ontario,22,22,60,94
Manitoba,68,71,0,0
New Brunswick,0,14,0,0
Newfoundland and Labrador,0,0,0,0
Nova Scotia,0,29,0,0
Northwest Territories,0,0,0,0
Nunavut,0,0,0,0
Prince Edward Island,0,0,0,0
Quebec,10,5,0,0
Saskatchewan,100,100,0,0
Yukon Territory,0,0,0,0
,,,,
,,,,
Top cities for indian residential schools,,,,
City,indian residential schools,,,
Regina,100,,,
Winnipeg,67,,,
Ottawa,67,,,
Edmonton,31,,,
Calgary,29,,,
Vancouver,28,,,
Toronto,15,,,
,,,,
Top cities for residential schools,,,,
City,residential schools,,,
Regina,100,,,
Saskatoon,84,,,
Winnipeg,73,,,
Lethbridge,65,,,
Thunder Bay,60,,,
Peterborough,51,,,
Edmonton,39,,,
Greater Sudbury,37,,,
Victoria,37,,,
Ottawa,34,,,
Kingston,32,,,
Calgary,32,,,
Barrie,29,,,
Surrey,24,,,
Vancouver,24,,,
,,,,
Top cities for canadian residential schools,,,,
City,canadian residential schools,,,
Toronto,100,,,
,,,,
Top cities for aboriginal residential schools,,,,
City,aboriginal residential schools,,,
Winnipeg,100,,,
Toronto,36,,,
,,,,
,,,,
,,,,
Top searches for indian residential schools,,,,
canada residential schools,100,,,
residential school,75,,,
indian act,45,,,
canadian residential schools,30,,,
the indian act,25,,,
indian act canada,20,,,
,,,,
,,,,
Top searches for residential schools,,,,
canada residential schools,100,,,
indian residential schools,60,,,
residential school,55,,,
aboriginal residential schools,35,,,
canadian residential schools,25,,,
native residential schools,20,,,
residential schools history,20,,,
native schools,20,,,
residential schools apology,10,,,
residential schools settlement,10,,,
residential schools abuse,10,,,
indian act,10,,,
residential schools definition,10,,,
bc residential schools,10,,,
residential schools cbc,10,,,
ontario residential schools,5,,,
residental schools,5,,,
manitoba residential schools,5,,,
assimilation,5,,,
alberta residential schools,5,,,
aboriginal people,5,,,
saskatchewan residential schools,5,,,
the indian act,5,,,
residential school survivors,5,,,
residential schools timeline,5,,,
residential schools quotes,5,,,
,,,,
,,,,
Top searches for canadian residential schools,,,,
